discipline topic,hierarchical agglomerative clustering
discipline topic,lda
hierarchical agglomerative clustering,lda
citation pattern,data visualization
citation pattern,datadriven
data visualization,datadriven
hathi trust digital library,potential tool development
compute education,liberal art compute
compute education,liberal education
liberal art compute,liberal education
climate change,conceptual lens
climate change,coproduction
climate change,social science and humanity
conceptual lens,coproduction
conceptual lens,social science and humanity
coproduction,social science and humanity
agricultural improvement,entomological investigation
agricultural improvement,pest control technique
entomological investigation,pest control technique
computational mean,multidisciplinary collaboration
computational mean,palaeography
multidisciplinary collaboration,palaeography
bibliometric evaluation,book review
bibliometric evaluation,humanity research
bibliometric evaluation,journal quality indicator
book review,humanity research
book review,journal quality indicator
humanity research,journal quality indicator
collaboration,lap
collaboration,library
collaboration,sustainability
lap,library
lap,sustainability
library,sustainability
activity theory,compute community
activity theory,document
activity theory,use case
compute community,document
compute community,use case
document,use case
citation analysis,isi
citation analysis,social science
isi,social science
dependent,disaster
dependent,internet outage
disaster,internet outage
creative teaching,interactive whiteboard
creative teaching,literacy
creative teaching,mathematics
creative teaching,wholeclass teaching
interactive whiteboard,literacy
interactive whiteboard,mathematics
interactive whiteboard,wholeclass teaching
literacy,mathematics
literacy,wholeclass teaching
mathematics,wholeclass teaching
adversarial counterargument,gsn
adversarial counterargument,safety argument deconstruction
gsn,safety argument deconstruction
annotation tool,compute science
annotation tool,humanity compute
annotation tool,online chopin variorum edition
compute science,humanity compute
compute science,online chopin variorum edition
humanity compute,online chopin variorum edition
cyberinfrastructure,digital scholarship
cyberinfrastructure,text creation partnership
digital scholarship,text creation partnership
escience,high performance computing tool
escience,social science
high performance computing tool,social science
frontend representation,humanity compute
frontend representation,modern manuscript material
humanity compute,modern manuscript material
ancient french legend of roland,corpus
ancient french legend of roland,xml semantic encoding
corpus,xml semantic encoding
history literary work,human writing
history literary work,information density
history literary work,longrange correlation
human writing,information density
human writing,longrange correlation
information density,longrange correlation
bibliometrics characteristic,scholarly communication
bibliometrics characteristic,selfcitation ratio
scholarly communication,selfcitation ratio
disciplinary turfpolity,geopolitical metaphor
disciplinary turfpolity,humanity compute
disciplinary turfpolity,operative conception
geopolitical metaphor,humanity compute
geopolitical metaphor,operative conception
humanity compute,operative conception
feminist,humanity compute
feminist,knowledge representation
feminist,scholarly production model
feminist,semantic markup
humanity compute,knowledge representation
humanity compute,scholarly production model
humanity compute,semantic markup
knowledge representation,scholarly production model
knowledge representation,semantic markup
scholarly production model,semantic markup
comparison,database journal
comparison,manuscript review
comparison,metric collection
database journal,manuscript review
database journal,metric collection
manuscript review,metric collection
humanity compute,literary
humanity compute,temporality effect
humanity compute,text analysis
humanity compute,time cognition
literary,temporality effect
literary,text analysis
literary,time cognition
temporality effect,text analysis
temporality effect,time cognition
text analysis,time cognition
